컬럼명,테이블명,설명
# col_name,mbp.twifi_ap,comment
# Partition Information,mbp.twifi_ap,NULL
_bucketname,indb.indb__pcell_lte_utmk_pcell_lte_utmk_idx__,
_offsets,indb.indb__pcell_lte_utmk_pcell_lte_utmk_idx__,
0_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,0~9세 여성 인구 합
0_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,0~9세 남성 인구 합
0_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,0~9세 인구 합
10_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,10대 여성 인구 합
10_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,10대 남성 인구 합
10_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,10대 인구 합
20_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,20대 여성 인구 합
20_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,20대 남성 인구 합
20_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,20대 인구 합
30_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,30대 여성 인구 합
30_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,30대 남성 인구 합
30_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,30대 인구 합
40_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,40대 여성 인구 합
40_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,40대  남성 인구 합
40_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,40대  인구 합
50_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,50대 여성 인구 합
50_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,50대 남성 인구 합
50_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,50대 인구 합
60_female_ingu_sum,mbp.bloc_local_in_out_list_before_2,60대 여성 인구 합
60_male_ingu_sum,mbp.bloc_local_in_out_list_before_2,60대 남성 인구 합
60_sum_ingu_sum,mbp.bloc_local_in_out_list_before_2,60대 인구 합
a_col,mbp.tmp_dual,
a_scd_name,indb.tmap_poimeta_monthly,
a_small_cd,indb.tmap_poimeta_monthly,
active_cnt,mbp.bloc_active_user,
addcameratype,indb.tmap_rprsd,
addr,mbp.twifi_ap,주소
addr_cd,indb.td_zord_svc_addr_ref,
addr_city,indb.cms_subway_info,시
addr_dong,indb.cms_subway_info,동
addr_gu,indb.cms_subway_info,구
addr_id,indb.td_zord_cust,주소 id
adm_cd,mbp.rto_reg_area,행정동 코드
adm_code,mbp.tmp_ingu_0128,행정동 코드
adm_name,mbp.cms_cell_day_adm_daily_view,행정동 이름
adm_rate,mbp.bloc_svc_adm_rate_monthly,행정동 비율
admin_area_cd,indb.td_zord_cust,
adong_cd,mbp.rto_so_area,
adong_nm,mbp.rto_so_area,
af_term_brws_rst_yn,indb.td_zord_cust,
age,mbp.query_hive_20730,나이
age_cd,indb.loc_roaming,나이 코드
age_pred,indb.base_demo_pred_monthly,
age_sctn_cd,mbp.hd_card_dms_mon_sales_est_det,
age0_female,mbp.bloc_od_visitor_sigungu_roaming,0~4세 여성 인구
age0_male,mbp.bloc_od_visitor_sigungu_roaming,0~4세 남성 인구
age10_female,mbp.bloc_od_visitor_sigungu_roaming,10~14세 여성 인구
age10_male,mbp.bloc_od_visitor_sigungu_roaming,10~14세 남성 인구
age100_female,mbp.bloc_od_visitor_sigungu_roaming,100~ 세 여성 인구
age100_male,mbp.bloc_od_visitor_sigungu_roaming,100~ 세 남성 인구
age15_female,mbp.bloc_od_visitor_sigungu_roaming,15~19세 여성인구
age15_male,mbp.bloc_od_visitor_sigungu_roaming,15~19세 남성인구
age20_female,mbp.bloc_od_visitor_sigungu_roaming,20~24세 여성인구
age20_male,mbp.bloc_od_visitor_sigungu_roaming,20~24세 남성인구
age25_female,mbp.bloc_od_visitor_sigungu_roaming,25~29세 여성인구
age25_male,mbp.bloc_od_visitor_sigungu_roaming,25~29세 남성인구
age30_female,mbp.bloc_od_visitor_sigungu_roaming,30~34세 여성인구
age30_male,mbp.bloc_od_visitor_sigungu_roaming,30~34세 남성인구
age35_female,mbp.bloc_od_visitor_sigungu_roaming,35~39세 여성인구
age35_male,mbp.bloc_od_visitor_sigungu_roaming,35~39세 남성인구
age40_female,mbp.bloc_od_visitor_sigungu_roaming,40~44세 여성인구
age40_male,mbp.bloc_od_visitor_sigungu_roaming,40~44세 남성인구
age45_female,mbp.bloc_od_visitor_sigungu_roaming,45~49세 여성인구
age45_male,mbp.bloc_od_visitor_sigungu_roaming,45~49세 남성인구
age50_female,mbp.bloc_od_visitor_sigungu_roaming,50~54세 여성인구
age50_male,mbp.bloc_od_visitor_sigungu_roaming,50~54세 남성인구
age55_female,mbp.bloc_od_visitor_sigungu_roaming,55~59세 여성인구
age55_male,mbp.bloc_od_visitor_sigungu_roaming,55~59세 남성인구
age60_female,mbp.bloc_od_visitor_sigungu_roaming,60~64세 여성인구
age60_male,mbp.bloc_od_visitor_sigungu_roaming,60~64세 남성인구
age65_female,mbp.bloc_od_visitor_sigungu_roaming,65~69세 여성인구
age65_male,mbp.bloc_od_visitor_sigungu_roaming,65~69세 남성인구
age70_female,mbp.bloc_od_visitor_sigungu_roaming,70~74세 여성인구
age70_male,mbp.bloc_od_visitor_sigungu_roaming,70~74세 남성인구
age75_female,mbp.bloc_od_visitor_sigungu_roaming,75~79세 여성인구
age75_male,mbp.bloc_od_visitor_sigungu_roaming,75~79세 남성인구
age80_female,mbp.bloc_od_visitor_sigungu_roaming,80~84세 여성인구
age80_male,mbp.bloc_od_visitor_sigungu_roaming,80~84세 남성인구
age85_female,mbp.bloc_od_visitor_sigungu_roaming,85~89세 여성인구
age85_male,mbp.bloc_od_visitor_sigungu_roaming,85~89세 남성인구
age90_female,mbp.bloc_od_visitor_sigungu_roaming,90~94세 여성인구
age90_male,mbp.bloc_od_visitor_sigungu_roaming,90~94세 남성인구
age95_female,mbp.bloc_od_visitor_sigungu_roaming,95~99세 여성인구
age95_male,mbp.bloc_od_visitor_sigungu_roaming,95~99세 남성인구
all_0_female_ingu_sum,mbp.bloc_local_in_out_list,10대 미만 여성인구 합
all_0_male_ingu_sum,mbp.bloc_local_in_out_list,10대 미만 남성인구 합
all_0_sum_ingu_sum,mbp.bloc_local_in_out_list,10대 미만 인구 합
all_10_female_ingu_sum,mbp.bloc_local_in_out_list,10대 여성인구 합
all_10_male_ingu_sum,mbp.bloc_local_in_out_list,10대 남성인구 합
all_10_sum_ingu_sum,mbp.bloc_local_in_out_list,10대 인구 합
all_20_female_ingu_sum,mbp.bloc_local_in_out_list,20대 여성인구 합
all_20_male_ingu_sum,mbp.bloc_local_in_out_list,20대 남성인구 합
all_20_sum_ingu_sum,mbp.bloc_local_in_out_list,20대 인구 합
all_30_female_ingu_sum,mbp.bloc_local_in_out_list,30대 여성인구 합
all_30_male_ingu_sum,mbp.bloc_local_in_out_list,30대 남성인구 합
all_30_sum_ingu_sum,mbp.bloc_local_in_out_list,30대 인구 합
all_40_female_ingu_sum,mbp.bloc_local_in_out_list,40대 여성인구 합
all_40_male_ingu_sum,mbp.bloc_local_in_out_list,40대 남성인구 합
all_40_sum_ingu_sum,mbp.bloc_local_in_out_list,40대 인구 합
all_50_female_ingu_sum,mbp.bloc_local_in_out_list,50대 여성인구 합
all_50_male_ingu_sum,mbp.bloc_local_in_out_list,50대 남성인구 합
all_50_sum_ingu_sum,mbp.bloc_local_in_out_list,50대 인구 합
all_60_female_ingu_sum,mbp.bloc_local_in_out_list,60대 여성인구 합
all_60_male_ingu_sum,mbp.bloc_local_in_out_list,60대 남성인구 합
all_60_sum_ingu_sum,mbp.bloc_local_in_out_list,60대 인구 합
alterflag,indb.tmap_rprsd,
altitude,indb.cms_enb,
aphus_dong_cd,mbp.quarter_dmm_aphus_ho,
aphus_dong_nm,mbp.quarter_dmm_aphus_ho,
aphus_ho_avg_pyng_prc,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cd,mbp.quarter_dmm_aphus_ho,
aphus_ho_cnt,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_10_19py,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_10py_l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_20_29py,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_30_39py,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_40_49py,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_50_abov,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_05_10l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_10_20l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_20_30l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_30_40l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_40_50l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_50_60l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_60_70l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_cnt_prc_70_u,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_nm,mbp.quarter_dmm_aphus_ho,
aphus_ho_prc_05_l,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_prc_smtot,mbp.quarter_dmm_aphus_hsmp,
aphus_ho_pyt_smtot,mbp.quarter_dmm_aphus_hsmp,
aphus_hsmp_cd,mbp.quarter_dmm_aphus_hsmp,
aphus_hsmp_nm,mbp.quarter_dmm_aphus_hsmp,
app_cd,indb.app_code,앱 코드
app_id,indb.app_transport,앱 아이디
app_idx,indb.app_code,
app_name,indb.app_code,앱 이름
appver,indb.tmap_rprsd,앱 버전
appversion,indb.tmap_routehistory1,앱 버전
apt_cd,mbp.r114_dmr_apt_size,아파트 코드
apt_nm,mbp.r114_dmr_apt_sale_plan,아파트 이름
apv_cnt,mbp.hd_card_dms_mon_sales_est_sum_gb,
apv_cnt_00tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_01tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_02tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_03tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_04tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_05tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_06tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_07tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_08tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_09tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_10tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_11tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_12tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_13tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_14tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_15tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_16tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_17tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_18tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_19tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_20tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_21tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_22tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
apv_cnt_23tmst,mbp.hd_card_tms_mon_scls_sales_est_time,
area,mbp.quarter_dmm_sido,지역
area_info,indb.cms_enb,지역 정보
artc_sale_poto_ptcl,mbp.r114_dmr_shop_sale,
asgn_cmrng_cd,indb.loc_roaming,
audit_dtm,indb.td_zord_wlf_dc_cust_hst,
audit_id,indb.td_zord_wlf_dc_cust_hst,
average_speed,indb.tmap_routehistory1,평균 속도
avg_dist,mbp.life_style_match_cell,평균 거리
b_col,mbp.tmp_dual,
background_ny,indb.app_code,
bas_addr,indb.td_zord_svc_addr_ref,
base_id,indb.pcell_cdma,
base_year,mbp.rto_reg_area,
basement_info,indb.cms_ru,
bcode,mbp.parking_time_monthly_rate,
bd_main_num,indb.cms_ru,
bd_mgt_sn,mbp.twifi_ap,
bd_name,indb.cms_ru,
bd_sub_num,indb.cms_ru,
bdong_name,mbp.parking_time_monthly_rate,
beacon_fa,indb.cms_bts,
beacon_tce,indb.cms_bts,
birth_dt,indb.td_zord_cust,
biz_end_sd_ttm,indb.tmap_poimeta_monthly,
biz_flag,indb.tmap_poimeta_monthly,
biz_info,indb.tmap_poimeta_monthly,
biz_start_sd_ttm,indb.tmap_poimeta_monthly,
bizes_cnt,mbp.parking_index_car_weekend_score_sum,
bizes_id,mbp.hd_card_bizmstr_close_building,
bizes_score,mbp.parking_index_car_weekend_score_sum,
bld_mng_no,mbp.hd_card_bizmstr_close_building,
bld_mnno,mbp.hd_card_bizmstr_close_building,
bld_nm,mbp.hd_card_bizmstr_close_building,
bld_no1,indb.tmap_poimeta_monthly,
bld_no2,indb.tmap_poimeta_monthly,
