테이블명,설명
indb.app_code,
indb.app_group,
indb.app_http,
indb.app_transport,
indb.base_demo_pred_monthly,
indb.base_fmly_cluster_monthly,
indb.base_fmly_rel_pred_monthly,
indb.biz_adm_ingu,
indb.bloc_snapshot_month,
indb.call_points,
indb.censors_emd_ingu,
indb.cms_bts,
indb.cms_enb,
indb.cms_ru,
indb.cms_subway_du,
indb.cms_subway_info,
indb.cms_subway_ru,
indb.cms_subway_section_info,
indb.indb__pcell_lte_utmk_pcell_lte_utmk_idx__,
indb.index50,
indb.life_spend_card_monthly,
indb.life_spend_cardonline_monthly,
indb.life_spend_ecommerce_monthly,
indb.life_style_biz_income_so_area_avg,
indb.life_style_match,
indb.life_style_r114_so_area_avg,
indb.life_style_tms_mon_scls_sales_est_age_so_area_mcls_list,
indb.life_style_tms_mon_scls_sales_est_age_so_area_scls_list,
indb.life_style_tms_mon_scls_sales_est_so_area_mcls_list,
indb.life_style_tms_mon_scls_sales_est_so_area_mcls_upjong,
indb.life_style_tms_mon_scls_sales_est_so_area_scls_list,
indb.life_style_tms_mon_scls_sales_est_so_area_scls_upjong,
indb.life_style_tms_mon_scls_sales_est_time_so_area_mcls_list,
indb.life_style_tms_mon_scls_sales_est_time_so_area_scls_list,
indb.life_style_tms_mon_scls_sales_est_wh_so_area_mcls_list,
indb.life_style_tms_mon_scls_sales_est_wh_so_area_scls_list,
indb.life_style_tms_mon_scls_sales_est_wkdy_so_area_mcls_list,
indb.life_style_tms_mon_scls_sales_est_wkdy_so_area_scls_list,
indb.life_visit_poi_monthly,
indb.loc,- loc 데이터
indb.loc_hash,
indb.loc_input_cnt,
indb.loc_roaming,- loc 로밍 데이터
indb.pcell_cdma,
indb.pcell_lte,
indb.pcell_lte_utmk,
indb.pcell_wcdma,
indb.td_zord_cust,
indb.td_zord_psninf_itm_pra_hst,
indb.td_zord_svc_addr,
indb.td_zord_svc_addr_ref,
indb.td_zord_wlf_dc_cust_hst,
indb.tmap_favorate,
indb.tmap_poimeta,
indb.tmap_poimeta_category,
indb.tmap_poimeta_category_monthly,
indb.tmap_poimeta_monthly,
indb.tmap_routehistory,
indb.tmap_routehistory1,
indb.tmap_rprsd,
indb.twifi_ap,
indb.twifi_ap2,
mbp.age_gb,
mbp.bloc_05,- 5분 스냅샷 데이터
mbp.bloc_05_exist_inflow_list,- 5분 스냅샷을 이용한 유동인구 데이터
mbp.bloc_05_exist_inflow_list_day,- 5분 스냅샷을 이용한 일별 유동인구 데이터
mbp.bloc_05_exist_pop_cnt,- 5분 스냅샷을 이용한 존재인구 count
